Qty,Manufacture Part Number/Seeed SKU,Parts
1,LTST-C191KRKT,LED1
1,RNCP0805FTD100R,R1
28,CL21F104ZBCNNNC,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28"
1,TL3315NF100Q,S13
1,TL3315NF100Q,S11
1,TL3315NF100Q,S5
1,TL3315NF100Q,S6
1,TL3315NF100Q,S7
1,TL3315NF100Q,S8
1,TL3315NF100Q,S14
1,TL3315NF100Q,S1
1,TL3315NF100Q,S2
1,TL3315NF100Q,S3
1,TL3315NF100Q,S4
1,TL3315NF100Q,S15
1,TL3315NF100Q,S10
1,TL3315NF100Q,S9
1,TL3315NF100Q,S12
28,WS2812B,"L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28"
2,B3B-PH-K-S(LF)(SN),"J9, J21"
