Partlist exported from /Users/eugeneandruszczenko/Desktop/github/32teeth/PCB/sega/sega.sch at 2/28/17 12:23 PM

Qty Value   Device            Package           Parts                                                                 Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1           M10X2ROUND_NOSILK 2X10_ROUND_NOSILK U$1                                                                   This was SPECIALLY designed to be used with our Graphic LCD Backpack.  Be sure you want to use this!  It is not only staggered on each line of header holes, but IT IS ALSO offset of the center point of the top and bottom lines by 5 mil.  This causes the headers to lock into place on the "standard" footprint on the LCD screen.  The extra squares on the tdocu layer are there simply to reference other pins (if you were to actually populate a longer header than ten long - this is what we do with the backpacks). 
16  0.1uf   C-USC0603K        C0603K            C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16 CAPACITOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2   DOUT    M01PTH            1X01              J10, J20                                                              Header 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1   K1      M02PTH            1X02              J1                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   K1      SANWA_OBSC_24_CW  SANWA_24MM        S5                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   K2      M02PTH            1X02              J3                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   K2      SANWA_OBSC_24_CW  SANWA_24MM        S6                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   K3      M02PTH            1X02              J5                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   K3      SANWA_OBSC_24_CW  SANWA_24MM        S7                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   K4      M02PTH            1X02              J7                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   K4      SANWA_OBSC_24_CW  SANWA_24MM        S8                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   P1      M02PTH            1X02              J2                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   P1      SANWA_OBSC_24_CW  SANWA_24MM        S1                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   P2      M02PTH            1X02              J4                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   P2      SANWA_OBSC_24_CW  SANWA_24MM        S2                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   P3      M02PTH            1X02              J6                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   P3      SANWA_OBSC_24_CW  SANWA_24MM        S3                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   P4      M02PTH            1X02              J8                                                                    Standard 2-pin 0.1" header. Use with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1   P4      SANWA_OBSC_24_CW  SANWA_24MM        S4                                                                    Sanwa OBSC 24mm CW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
16  WS2812B WS2812B           WS2812B           L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2   led     M03JST-PTH-VERT   JST-3-PTH-VERT    J9, J21                                                               Header 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
